Researcher,Title,Institution,Year,Length,Per_annum_budget,Field,Keywords
???? ????,???? ?????? ?????? ?????? ????,Hadassah Hospital,2018,5,245000,Medicine - Neurological & Psychiatry,"Physical activity, ATP, Cytokines, Gap Junctions, cytokines, cytokines, chronic pain, cytokines, sensory ganglia, neurons, dorsal root ganglia, purinergic receptors, physical exercise, satellite glial cells, diabetic neuropathic pain"
???? ????,???? ???? ????? ??????? ??? ?????? ??????? ????????,Hadassah Hospital,2013,5,180000,Medicine - Neurological & Psychiatry,"Pain, inflammation, Nitric Oxide, Gap Junctions, neurons, dorsal root ganglia, satellite glial cells"
???? ????,???????? ??????? ?? ??? ?????,Hadassah Hospital,2008,4,140000,Medicine - Neurological & Psychiatry,"Pain, inflammation, Nitric Oxide, Gap Junctions, sensory ganglia, glial cells, neurons, post-inflammatory pain"
???? ????,???????? ??????? ?? ??? ????????,Hadassah Hospital,2003,4,202000,Medicine - basic research, 
????? ????????,????? ????????? ?? ???????? ????? ??????? NCX,Tel Aviv University,2014,4,270000,Biochemistry,"ion-transport mechanisms, sodium-calcium exchanger, NCX, Alternating access, Transporter"
????? ????????,???????? ?????????? ???????? ?????? ?????? ???? ???? CBD,Tel Aviv University,2010,4,203000,Biochemistry,"NCX, CBD, calcium sensor, splice variant, C2 folding"
????? ????????,?????? ???? ????? ?????? ?? ?????? NCX,Tel Aviv University,2018,5,280000,Biochemistry,"Regulation, sodium-calcium exchanger, NCX, Transporter, Ion-transport"
??? ????,????? ???????? ???? ?? ??? ??? ?? ?????? ???????,Technion,2018,5,325000,Developmental Biology,"Extracellular matrix, lysyl oxidase, muscle regeneration, niche, satellite cells"
??? ????,????? ???????? - ??? ??????? ???????? ?? ???? ????,Technion,2013,5,285000,Animal Science,"lysyl oxidase, myogenesis, patterning, vertebrates, tendon development, muscular fibrosis, connective tissues, limb"
????? ???,????????? ?? ??????-?? ??????: ???? ??????? ????? ????? ?????? ?? ???? Cataglyphis (?? ?????? bicolor),Tel Aviv University,2013,4,250000,Animal Science,"Evolution, Evolution, evolution, evolution, reproductive behavior, social insects, social behavior, pheromones, sociobiology, ants, supercoloniality, unicoloniality, Cataglyphis, nestmate recognition"
????? ???,????????? ?? ????? ??????? ???? ??????? ?? ????? ????: ???? ????? ????? ???  ???? ???????,Tel Aviv University,2004,4,132000,Zoology, 
????? ???,????????? ?? ????? ??? ???????? ?????????? ??????? ??????? ????? ???????,Tel Aviv University,2008,4,175000,Animal Science,"reproductive behavior, pheromones, evolution of sociality, bumblebees, sociogenomics"
??? ???,??? ??????: ???? ???????? ???????? ???? ?????? ?????? ?????? ?? ???? ?????????? ??????? ?? ???????,Hebrew University,2017,4,345000,Developmental Biology,"fertility, exosomes, mating, Extracellular vesicles, Female reproductive tract, Spermathecal secretory cells, Female accessory glands, Parovaria, Reproductive tract environment"
??? ???,??? ??????: ???? ???????? ???????? ???? ?????? ?????? ?????? ?? ???? ?????????? ??????? ?? ???????,Hebrew University,2017,4,0,Developmental Biology,"fertility, exosomes, mating, Extracellular vesicles, Female reproductive tract, Spermathecal secretory cells, Female accessory glands, Parovaria, Reproductive tract environment"
??? ???,????? ?- circulating miRNAs ??????? ????????? ???????? ?????? ???????? ?????? ????,Hebrew University,2021,4,270000,Animal Science,"reproduction, Aging, Healthspan, Reproductive aging, Extracellular vesicles (EVs), Lifespan, circulating micrornas, reproductive status "
??? ?????,?????? ?? ?????? ELIP ????? ???????? ????????,Volcani Centre,2018,5,290000,Plant Science,"chloroplast, Chlorophyll, early light-inducible protein (ELIP), plastid differentiation"
?? ?????,"?????? ?? ????? ???? ? FUS ,RNA, ??????? ????? ??????? ?? ???? ? HIV",Ben Gurion University,2017,3,245000,Microbiology,"transcription elongation, super elongation complex (sec), TAT, Human Immunodeficiency Virus (HIV), RNA Polymerase II (Pol II): Positive Transcription Elongation Complex b (P-TEFb), Promoter proximal pausing, AF4/FMR2 family (AFF1, AFF4)"
?? ?????,"?????? ?? ????? ???? ? FUS ,RNA, ??????? ????? ??????? ?? ???? ? HIV",Ben Gurion University,2017,3,0,Microbiology,"transcription elongation, super elongation complex (sec), TAT, Human Immunodeficiency Virus (HIV), RNA Polymerase II (Pol II): Positive Transcription Elongation Complex b (P-TEFb), Promoter proximal pausing, AF4/FMR2 family (AFF1, AFF4)"
??? ?????, ????? ????? ?????? ?????? ????? ?? ????? ?????????? ,Haifa University,2017,4,265000,Animal Science,"genomics, Drosophila, genetics, circadian clock, Chronobiology, Biological rhythms"
???? ?????,?????? ?? ?????? ????? ????? ????? ?????? ?? ????? ?????,Tel Aviv Sourasky Medical Center,2012,4,232500,Medicine - Blood & Respiratory Systems,"pregnancy, Obstructive Sleep Apnea, Sleep disordered breathing"
???? ???,????? ????? ?? ???? ?? ?????????? ????????? ??????? ????? ????? ?? 1000 ??????,Hebrew University,2019,3,250000,Molecular Biology,"genomics, bioinformatics, Evolution, ovarian cancer, Homologous recombination, DNA repair, breast cancer (bc), phylogenetic profiling"
???? ???,????? ????? ?? ???? ?? ?????????? ????????? ??????? ????? ????? ?? 1000 ??????,Hebrew University,2019,3,34000,Molecular Biology,"genomics, bioinformatics, Evolution, ovarian cancer, Homologous recombination, DNA repair, breast cancer (bc), phylogenetic profiling"
???? ????,????? ?????????? ?????????? ????? ??????? ?????? ?? ????? ??????,Ariel University,2008,4,140000,Bioinformatics & Computational & systems Biology,"protein-protein interactions, linear programming, Docking potentials, (Gideon) Interface design"
????? ?????,?? ??? ?????? ?? SIRT6 ????? ?? ???? DNA,Ben Gurion University,2017,3,260000,Molecular Biology,"SIRT6, double strand breaks (DSB), Homologous Recombination (HR), Non Homologous End joining (NHEJ), DNA damage sensor."
???? ???????,"????? ?????? ?? ?????-??""? 34 ????? ??? ??? ???? ?????",Haifa University,2017,3,250000,Developmental Biology,"Drosophila, microRNAs, testis, stem cell niche, integrin, miR-34"
???? ???????,????????? ???????? ?? ??? ???? ??????????,Haifa University,2020,5,280000,Developmental Biology,"Drosophila, Phagocytosis, Aging, Testis., Draper, Germline Stem Cells (GSCs), cyst cells, phagoptosis"
???? ???????,"?????? ????? ??????-??""? ????? ????? ?? ??? ???? ?? ??'?????? ?????????? ???? ?????????",Haifa University,2014,3,220000,Animal Science,"Drosophila, Apoptosis, microRNAs,  apoptosis, testis, niche, germline stem cells"
????? ??,?????? ????? ???? ????? ???????? ???? ??? ????,Hebrew University,2002,4,0,Neurobiology, 
??? ???????,???????? ?? PKC ??????? ????? ????,Bar Ilan University,2003,4,163000,Signal Transduction, 
????? ???????,"??????? ?????? ???: ????, ?????? ????????? ??????? ???? ?????????? ???????? ?? ?????? ?????",Hebrew University,2009,4,195000,Cell Biology,prions endocytosis amyloid subcellular trafficking endosomes
????? ?????,???????? ???????? ??????-????????? ??????? ,Hebrew University,2011,4,214500,Bio-Med-Neurodegeneration,"nutrition, dementia, folate, MCI, Homocysteine, microvascular, Vascular Cognitive impariment, VCI, cerbrovascular disease, Near Infra Red Spectroscopy, NIRS, Angiodynamics"
???? ???????,????? ??????? ???? ??????? ?? ?????? RIC-3 ??????? ?? ????? ???????? ??????????,Hebrew University,2010,4,238000,Neurobiology,"phosphorylation, Alternative splicing, C. elegans, nicotinic acetylcholine receptors, chaperone, endoplasmic reticulum (ER)"
???? ???????,???? ?? ?????? ?????? ???????? ??????? ?????? ??????,Hebrew University,2015,4,219755,Neurobiology,"phosphorylation, C. elegans, kinases, nAChR, phosphatases"
???? ???????,"????? ?????? ?????? ??????? ?? ??????? ?? 3-RIC, ????? ?????? ?? ?????? ?? ???????? ??????????",Hebrew University,2006,4,247500,Neurobiology,"Proteasome, C. elegans, trafficking, membrane protein , nAChR, biogenesis, Nicotinic acetylcholine receptor"
???? ???????,??? ????????? ???????? ?? ???? ??????? ??? - ????? ???? ????? ????? ????????????,Haifa University,2018,4,270000,Medicine - Neurological & Psychiatry,"Pain Assessment, Pain intensity, Variability, Subjective outcomes, Placebo response, Analgesic development, Assay Sensitivity"
?????? ????????,????? ?????? ??? ?? ??????????? ?????? ?? ??????,Haifa University,2009,3,156000,Molecular Biology,"chromatin structure, nucleosome positioning, nucleosomes, sequence periodicity, nucleosome DNA sequence pattern, human nucleosomes, nucleosome DNA sequence polymorphism, matrix of bendability, signal regeneration"
?????? ????????,??? ???????? - ???? ????? ???? ??????????? ?? ???????,Haifa University,2002,3,0,Molecular Biology, 
???? ????????,?????? ???????? ????????: ??????????? ??????? ???????????,Hebrew University,2002,4,0,Microbiology, 
???? ????????,??????????:????? ???? ???????? ????? ???? ????? ??????? ????? ????,Hebrew University,2008,4,210000,Biochemistry,"bacterial motility, cryo electron microscopy, Bacterial cytoskeleton, helical image processing structural biology, linear bacterial motors, Spiroplasma"
????? ??????,??????? ??????? ?????? ?? ?????? ????? ??????? ???? GHRH/GH ???? ?????? ???? ?????? ???????? ??????? ,Ben Gurion University,2014,4,320000,Medicine - Blood & Respiratory Systems,"sleep, rat, Sleep-disordered breathing, growth, children, respiration, GHRH/GH axis"
????? ??????,??????? ?-GHRH ?????? ????? ??????? ?????? ?????? ?????? ?????? ???? ?????? ???????? ??????? ??????,Ben Gurion University,2010,4,226000,Medicine - Blood & Respiratory Systems,"rat, Sleep-disordered breathing, growth, children"
????? ??????,"????????? ???????? ?????? ?????, ???? ??????? ??????? ?????? ???? ???? ?????? ???? ?????? ????????",Ben Gurion University,2018,5,325000,Medicine - Blood & Respiratory Systems,"sleep, rat, Sleep-disordered breathing, growth, children, respiration, upper airway obstruction"
???? ????,"????? ???????? ?????????? ?? ??????? ?????????? ?????? ????? ????? Kv1 ?""? ???????? ??????? ????????? ???-??????",Bar Ilan University,2016,3,217000,Biochemistry,"potassium channel, membrane proteins, protein-protein interactions, nuclear magnetic resonance, structural biology, Kv1 family, ShK, structural bioNMR, nanodiscs"
???? ????,"??""? ????? ?? ????? ????? ?????????? ???-???????? ?? ??????????????? ?????? ?????? ???? C.",Bar Ilan University,2009,4,234000,Biochemistry,"membrane proteins, biophysics, biophysics, Biophysics, biophysics, hepatitis c, nuclear magnetic resonance, structural biology, helical proteins, envelope glycoproteins"
????? ????,?????? PNA ?????? ??? ????? ???,Hebrew University,2013,4,242000,Medicinal Chemistry & Theranostics,"DNA photocleavage, Antisense, peptide nucleic acids"
????? ????,"???????? ?????????? ??????? ??""? - ????? ????? ?????-?????? ????",Hebrew University,2017,4,300000,Medicinal Chemistry & Theranostics,"PNA, cancer diagnosis, Long non-coding RNA, Point Mutations, Near IR, liquid biopsies"
????? ????,????? ?????? - ????? ???????? PNA ?????? ????????????,Hebrew University,2021,4,270000,Medicinal Chemistry & Theranostics,"PNA, fluorescence imaging, fit-pna, rna detection"
????? ????????,?????? ?????????? ?? ?????? Gads ??????? ?? ???????? ???????? ?? ??? T,Technion,2017,4,280000,Signal Transduction,"cooperativity, lat, TCR, Gads, tyrosine phosphorylation, adaptor protein, Grb2-family, signalosome, SH3, SH2, T cell development, thymic development"
????? ????????,"???? ?????? ??????? ?? ???????? ????? ???? SLP-76, ??????? ???? ?? ?????? ????? ?????? ??????",Technion,2013,4,300000,Signal Transduction,"lat, protein kinase, T cell receptor, TCR, Gads, ITK, SLP-76, SH2 domain, adaptor protein, T cell, Mast cell, Fc-epsilon receptor, Fc?RI, Phospholipase C-gamma1, PLC-?1, HPK-1, antigen receptor"
????? ????????,???????? ???????? ?? ????? ????? SLP-76 ???? ??????? ?????? PLC-gamma1,Technion,2009,4,214000,Signal Transduction,"ITK, protein tyrosine kinase, tyrosine phosphorylation, Tec-family tyrosine kinase, adaptor proteins, SLP-76, SH2 domain, 14-3-3, serine phosphorylation, HPK1, hematopoietic progenitor kinase 1"
????? ????????,???????? ?????????? ???????? ??????? ?????? ???????? ??? ????? ?????,Technion,2005,4,242000,Signal Transduction,"cell migration, chemokine signaling pathway, Jurkat somatic cell genetics, p21-activated kinase, cDNA expression library, rho-family G proteins"
???? ????,????? ????? ?????? ????? ???? ??????  segmental and focal glomerulosclerosis ??????? Sabra ??????? ????,Brazilay Hospital,2002,4,0,Medicine - basic research, 
???? ????,??? ???? ?? ?????? ??? ?????? ????? ????????? ?? ??? ??? ??,Ben Gurion University,2009,4,191000,Medicine - Blood & Respiratory Systems,"gender, linkage analysis, Hypertension, chromosomes,  gender, positional cloning, candidate genes, microarrays, pathways, quantitative trait loci, pathophysiology, differential gene expression profiling"
???? ????,????? ????? ?????????? ?????????? ?????? ?? ??? ???? ??????? ?????? ???? ?????? ????????,Tel Aviv University,2002,3,0,Molecular Biology, 
???? ????,???????? ????????? ?? ?????? ?????????? ???????? ?????? ??????? ????? ????,Tel Aviv University,2011 ???????,,195000,Molecular Biology,"Gene Therapy, Site specific recombination, bacteriophage integrase, yeast Flp recombinase, recombinase-mediated casstte exchange (RMCE)"
???? ???-????,????? ????????? ????? ?? ????? ???????? ??????? ????? ??????? ?? ????? ?????????,Ben Gurion University,2013,4,232000,Bioinformatics & Computational & systems Biology,"Data integration, Network biology, differential networks, interactome, molecular interaction networks, hereditary diseases"
???? ???-????,"????? ????? ?????????? ?? ????? ???????? ??????? ????? ?""? ????? ???????? ???????????? ",Ben Gurion University,2019,3,250000,Computational & Systems Biology,"bioinformatics, mendelian disease, Data integration, single cell analysis, Network biology"
???? ???-????,"????? ????? ?????????? ?? ????? ???????? ??????? ????? ?""? ????? ???????? ???????????? ",Ben Gurion University,2019,3,38000,Computational & Systems Biology,"bioinformatics, mendelian disease, Data integration, single cell analysis, Network biology"
???? ????,????? ?????? ????? ?? ??? ?? ?????? ??? ????? ?????? ??,Hebrew University,2003,3,251000,Medicine - basic research, 
?? ????,??????? ??????? ???????? ???????? ????????? ???????? ???????: ???????? ??????????? ???????????,Bar Ilan University,2002,4,0,Medicine - clinical, 
?? ????,????? ??????? ?????? ?????? ????? ??????? ?? ????? ?????? ????? ?? VTA,Bar Ilan University,2010,4,218000,Medicine - Neurological & Psychiatry,"Depression, dopamine, Depression, deep brain stimulation, ventral tegmental area, Flinders Sensitive Line of rats, acute electrical stimulation, positive reward"
??? ?????,?????? ???????? ??????? ???????? ?????? ?? ????? ??????? ???????,Hebrew University,2017,4,300000,Neurobiology,"Cerebellum, Basal Ganglia, reward, eye movements"
???? ???,"????? ???? ?? ?????? ?? ???? ?????? ????, ????? ????? ????? ?? ???? ????? ?????????, ????? ???? ??????? ?? ?????",Ruppin Academic Centre,2021,4,270000,Microbial Ecology and Marine Biology  ,"doc, don, dissolved organic carbon, suspension feeders, ecophysiology, carbon cycle"
???? ???,"????? ???? ?? ?????? ?? ???? ?????? ????, ????? ????? ????? ?? ???? ????? ?????????, ????? ???? ??????? ?? ?????",Ruppin Academic Centre,2021,4,37940,Microbial Ecology and Marine Biology  ,"doc, don, dissolved organic carbon, suspension feeders, ecophysiology, carbon cycle"
???? ???,????? ???? ???? ???? ?? ????? ??????? ????? ???? ???? ????? ??? ??????? ,Ruppin Academic Centre,2013,4,308000,Ecology,"selectivity, Marine microbiology, tunicates, oceanography, sponges, Biological filtration, Suspension feeding, Bivalves, environmental microbiology, SAR 11, Prochlorococcous"
???? ????,???????? ????? ???? - ?????? ?? ??????? ???????? ????????,Hebrew University,2011,3,195000,Animal Science,"symbiosis, nutritional ecology, Tephritidae, Insect-Bacteria Interactions"
???? ????,????? ??? ????? ?????? ??? ?????? - ?????? ???????? ?????????????,Hebrew University,2006,4,180000,Animal Science,"sexual selection, Ceratitis, Spermathecae, Female choice, lek"
???? ????,"??????, ?????, ???????????? ???????",Hebrew University,2016,4,233000,Animal Science,"symbiosis, nutritional ecology, Tephritidae, Insect Behavior, Insect-Bacteria Interactions"
???? ????,"???? ???? ??? ???? ???? - ?????? ?????????? ??????? ?????? ??????? ???""?",Tel Aviv University,2017,4,300000,Animal Science,"communication, MRI, animal behavior, urban ecology, bats"
???? ????,??? ????????? ????? ??????? ?? ???? ????? ??????? ??????? ??????,Tel Aviv University,2013,4,222000,Animal Science,"modeling, modeling, modeling, modeling, ecology, Ecology, Modeling, Modeling, modeling, modeling, animal behavior, foraging, movement, neuroscience, search, sensory, Echolocation, bats, collective behavior"
??? ????-?????,"???? ????? ?""? ????? ???????? DPE",Bar Ilan University,2010,4,214000,Molecular Biology,"RNA polymerase II transcription, core promoter, DPE, Hox, Caudal, BREu"
??? ????-?????,???? ????? ??? ?????? TRF2 ??????????: ?????? ?? ?????? ????? ????????,Bar Ilan University,2017,4,300000,Developmental Biology,"Drosophila, gene expression, gene expression, RNA polymerase II transcription, core promoter, TFIID, TRF2, TBP-associated factors, early embryonic development, cell viability"
??? ????,?????????? ?????? ??????? ??? ???? ?????? ???? ???????? ??????? ?????? ?????:???? ?????? ????????? ??????? ?? ?????????? ????????,Hebrew University,2006,4,225000,Microbiology,"Pathogenicity, Mycoplasma, Mycoplasma bovis, 
subtractive hybridization, genomic islands, 
restriction-modification (R-M), in vivo induced genes"
??? ????,"?????? ???????? ?? ?????? ?????????? 

(recombinase site-specific) ?????? ?????????? ???????? ?????????? ???????",Hebrew University,2002,4,0,Microbiology, 
???? ???-???,"????? ??????????????, ???? ????????? ????? ????? ????????? ?? ?????? ?????? ????? ????? ??????, ???????? ????? ?????? ???????? ???",Tel Aviv University,2004,3,132000,Zoology, 
???? ???-???,"????? ?????? ???????? ?? ????? ??????, ????? ??????? ?????? ?????? ???? ???? ?????.",Tel Aviv University,2008,4,175000,Ecology,"Torpor, leptin, ants, bats, Energetics, sexual segregation, seasonal migration"
???? ????,?????? ????? ?? ??-?????? ????? ????????? ????,Weizmann Institute,2007,4,215000,Immunology,"Dendritic cells, T cell priming"
???? ????,??? ????? ??????? in-vivo ?? ???? ?????????,Weizmann Institute,2003,4,264000,Immunology, 
???? ????,????? ????? ??? ?????????? ???????? ???? ???? ???? ?? ????? ????  ????? ??????,Weizmann Institute,2011,4,390000,Immunology,"macrophages, microglia, miRNA, EAE, cell ablation, mononuclear phagocytes"
???? ????,?????? ?????????? ?????? ???? ????? ?????,Weizmann Institute,2016,5,440000,Immunology,"macrophages, brown adipose tissue, thermogenesis, sympathetic innervation"
???? ????,"????? ????? ??????? ????????? ????????? ???????????, ??? ????? ????????  ??????? ?? ?????  CRISPR/Cas9",Weizmann Institute,2021,5,280000,Immunology,"microglia, IBD, CRISPR/CAS9, monocyte-derived macrophages, chimeric immune editing approach (chime)"
?????? ????,????? ????? ????? ??????? ?? ??? ????????? ???? ???????? ????,Hebrew University,2020,5,280000,Immunology,"inflammation, monocytes, Dendritic cells, Mononuclear phagocyte"
?????? ???????', ??????? ?? ????????? ????-??? ???????? ???? ????? ?????? ??? ??????? ?????? ???????,Hebrew University,2012,4,252000,Ecology,"microbial predators, bdellovibrio, predator-prey models"
?????? ???????',?????? ?? ????? ????? ???????? ?? ?????? ????? Bdellovibrio bacteriovorus 109j ??? ?????????? ??????,Hebrew University,2003,4,242000,Microbiology, 
?????? ???????',?????? ???????? ?? ????: ???? ?????? ??? ?????????? ?????????? ???? ?????,Hebrew University,2008,4,210000,Microbiology,"secretion, proteomics, bdellovibrio"
???? ????,????? ??????: ?????? ?? ??????? ??????? ???????? ?????? ??? ???????? ??????????? ??????? ?? ???? ?????? ????? ?????,Weizmann Institute,2012,5,213000,Neurobiology,"electrophysiology, oscillations, GABA, Autism, cortex, autism, Autism, behavior, Autism, connectivity, Autism, autism, Autism, optogenetics, autism, behavior, Autism, Cortex, excitation, inhibition, Neural circuits, E/I balance"
?? ???????,??????? ?????? ?? ????? ??????? ERG ??????????? ??????? ???????,Tel Aviv University,2018,4,250000,Medicine - Blood & Respiratory Systems,ERG Hematopoiesis Leukemia 
?? ???????,??????? ?????? ?? ????? ??????? ERG ??????????? ??????? ???????,Tel Aviv University,2018,4,38000,Medicine - Blood & Respiratory Systems,ERG Hematopoiesis Leukemia 
?? ???????,???? ???????? T ?????-??????????,Shiba Medical Centre,2014,4,330000,Medicine - Cancer & Oncology,"TEL-TIF2 (ETV6 - NCOA2), TEL (ETV6), TIF2 (NCOA2), MOZ-TIF2, T acute lymphoblastic leukemia (T-ALL), Early T Precursor ALL (ETP-ALL), Biphenotypic leukemia, Mixed Lineage Acute Leukemia (MPAL)"
?? ???????,??? ??????? ?????,Shiba Medical Centre,2008,4,210000,Medicine - Genetics & Oncology,"mitosis, SIL (SCL TAL1 Interrupting Locus), Mitosis checkpoints, anti mitotic therapy of cancer."
?? ???????,?????? ???? ????????? 21 ???????? ?????????????? ?????????,Shiba Medical Centre,2004,4,264000,Medicine - basic research, 
???? ???????,?????? ??????? ???-???? ?? ??????? ????? ????? GTP ???-?????? II ?? Rop ???????????,Tel Aviv University,2003,4,308000,Botany, 
???? ???????,?????? ?????? ?? ?????? ICR1 ????? ??????? ?? ?????? ROP GTPases ??????,Tel Aviv University,2007,4,194000,Plant Science,"secretion, development, Arabidopsis, Rac, small GTPase, signal transduction, ROP, exocyst, Ca2+-binding proteins"
???? ???????,?????? ?????? ?? ??????? ????? ???????? ?? ??? ?????? G ????? ?????? ?- ROP ????? ????? ?? ????????? ????? ??????,Tel Aviv University,2015,5,300000,Plant Science,"cell polarity, Arabidopsis, Rac, root development, calcium signaling, microtubule, Ca2+ signaling, auxin signaling, polar auxin transport, ROP GTPases, Ca2+ binding proteins"
???? ???????,????? ?? ???????? ???? ?????? ?????? ?? ???  ??????? ROP ?? ?????? ICR1 ???????? ??????? ????,Tel Aviv University,2011,4,319800,Plant Science,"cell polarity, calcium, Rac, root development, pattern formation, auxin transport, auxin signaling, ROP, Rho, pavement cells"
???? ???????,????? ??????? ????? GTP ????? ?????? ???? ????????? ???? ???????? ?? ????? ????? ??????? ??????? ??????? ????? ????????,Tel Aviv University,2020,5,290000,Plant Science,"Tomato, microtubules, root, ABA, Arabidopsis, ROS, Root hair, cell wall, ROP, protoxylem, metaxylem"
???? ????,????? ?????? ???? ????,Technion,2019,5,280000,Medicine - Biomedical Engineering,"Endoscopy, hearing loss, optical interferometry, tympanic membrane"
???? ????,????? ?????????? ??????? ????? ???????,Technion,2009,4,195000,Medicine - Biomedical Engineering,"Biomedical Imaging, miniature endoscopy, low coherence interferometry, Doppler imaging"
???? ????,??????????? ?? ??????? ?? ???,Technion,2014,5,250000,Medicine - Biomedical Engineering,"Noninvasive imaging, blood flow, confocal microscopy, optical diagnosis, flow cytometry, in vivo imaging"
???? ????,"???? ???? ??????? ??""? ????? ????? ????? ??????? ??????",Technion,2014,3,220000,Bioinformatics & Computational & systems Biology,"Embryonic Development, C. elegans, Small-RNA RNA-Seq, Evolution of gene regulation, Genome analysis, Small and long non-coding RNA"
???? ????,????? ??????? ????? ???? ?? ??? ?????????????? ????????,Technion,2009,4,273000,Bioinformatics & Computational & systems Biology,"molecular evolution, C. elegans, gene expression, gene expression, comparative genomics, microarrays, gene duplication, developmental networks, Solexa NextGen sequencing, and subfunctionalization."
??? ????,"????? ??????? ?? ??????? ???? ? ?""? ???? ????? ?????? ?? ??????? ??????? ????????? ???? ????",Technion,2014,4,345000,Medicine - Biomedical Engineering,"electrophysiology,  mitochondria, mitochondria, atrial fibrillation"
??? ????,????????? ?????????? ??????? ?? ????? ????? ????? ??? ??? ??????,Technion,2019,5,280000,Medicine - Biomedical Engineering,"Aging, signal transduction, sinoatrial node"
??? ????,????????? ?????????? ??????? ?? ????? ????? ????? ??? ??? ??????,Technion,2019,5,38000,Medicine - Biomedical Engineering,"Aging, signal transduction, sinoatrial node"
????? ????,??????????? ??? ?????? ???? ?????? ?????? ????????? ??????????,Weizmann Institute,2013,5,296000,Cell Biology,"zebrafish, Angiogenesis, angiogenesis, Angiogenesis, endothelial, angiogenesis, vessels, angiogenesis"
????? ????,?????? ?? ?????? ???? ??????? ?????? ??? ??,Weizmann Institute,2009,4,273000,Molecular Biology,"zebrafish, Angiogenesis, angiogenesis, Angiogenesis, endothelial, angiogenesis, angiogenesis, vascular, lipoprotein"
???? ??????? ???,????? ?????? ????? ?? ?????? ????? ????? ??-??? ?????? ??-???????,Weizmann Institute,2020,5,295000,Computational & Systems Biology,"cancer, proteomics, tumor immunology, Immunology, pathology, multiplexed imaging, non-small cell lung cancer"
???? ?????,"????? ??????????? ?????? ?? ????? ??? ??????? ???????, ??????? ???????? ??????",Hebrew University,2020,5,290000,Molecular Medicine & Human Physiology,"computational biology, microbiome, IBD, Infant gut microbiome, mother-to-child bacterial transmission"
???? ?????,????? ???????? ??????? ??????? ????? ???? ?????? ?????? ??? ??????? ????,Israel Oceanographic & Limnological Research,2007,3,155000,Ecology,"paleolimnology, fossil, chlorophyll a, primary productivity, high-performance liquid-chromatography"
???? ?????,??????? ?? ???? ????? ???????? ?? ?????? ?????? ?? Chlorobium phaeobacteroides ?????: ????? ????-????? ????? ????? ????,Israel Oceanographic & Limnological Research,2004,3,176000,Ecology, 
???? ??????,????? ????????? ?????? ???? ?? ????,Tel Aviv University,2016,5,325000,Plant Science,"Hydrogenase, photosystem-I, Mehler reaction"
??? ????,??????? ???????? ????????,Bar Ilan University,2016,4,326000,Immunology,"Lymphocytes, B cell, High-throughput sequencing, lineage trees, somatic hypermutation, Immunoglobulin, Mutability, Antigen-driven selection, Substitution, Affinity Maturation"
??? ????,???? ????? ???????? ?????? - ?????? ?? ?????? ???????? ??????,Bar Ilan University,2021,4,270000,Immunology,"antibody repertoire analysis, immunoglobulin genomic loci"
???? ????,???????? ?????????? ?????? ?? ?????-??? ????? ?????,Hebrew University,2018,4,300000,Neurobiology,"hippocampus, Glutamate, ATP, LPS, lipopolysaccharide, neuroinflammation, epilepsy, intrinsic excitability, Transmitter release, innate immune response, Kv7, KCNQ, pyramidal cells, ca1, ca3, microglia astrocytes, M current, slow afterhyperpolarization, P2Y1, mGluR"
???? ????,"?????????? ???? ??? ???? ?????????: ????? ??????????? ??????? ?? ???????? ?""? ??????????",Hebrew University,2009,4,117000,Neurobiology,"ATP, intrinsic excitability, purinergic receptors, pyramidal cells, Glia-neuron interaction, Bursting, Osmolarity, Cell swelling, Calcium release, CA1 hippocampal slices"
?'??? ???,????? ?? ??????? ??????? ??????? ???????? ?? ????? ???????,Hebrew University,2002,4,0,Microbiology, 
?'??? ???,?????? ??????????? ?? ???? ???????? ???????? ??????? ?????: ???? ???? ??????????,Hebrew University,2017,3,250000,Microbiology,"development, epidemiology, risk assessment, Leishmania major, cutaneous leishmaniasis, Leishmania tropica, outbreaks, ecology of disease, urbanisation"
?'??? ???,?????? ??????????? ?? ???? ???????? ???????? ??????? ?????: ???? ???? ??????????,Hebrew University,2017,3,0,Microbiology,"development, epidemiology, risk assessment, Leishmania major, cutaneous leishmaniasis, Leishmania tropica, outbreaks, ecology of disease, urbanisation"
???? ????,????? ???????? ???? ????? ???? ????? ????? ??????-???: ?????? ?????? ????? ??????,Ben Gurion University,2016,4,272000,Signal Transduction,"Alternative splicing, cooperativity, Channel clustering, Scaffold proteins, PSD-95, voltage-dependent potassium channels, ball and chain, intrinsically-disordered, natively unfolded, fast inactivation"
???? ????,?????? ?????????? ??????? ????? ????? ?????? ?????? ????? ?????? ???,Ben Gurion University,2004,4,264000,Biophysics ,"patch clamp, cooperativity, communication networks, conformational transitions, K+ channels, Voltage-dependent gating, Phi-value analysis, Double mutant cycles, Linear free energy relations"
???? ????,"????? ????? ????? ?????? ???: ?????? ?? ????? ??????? ?? ??????? ???? ??????????, ???? ??????????",Ben Gurion University,2008,4,238000,Biochemistry,"Voltage-activated potassium channels, Intrinsically- disordered protein segments, Natively-unfolded, Channel clustering, Scaffold proteins, Dlg, PSD-95"
???? ????, ?????? ?????????? ??????? ????? ?????? ???????? ?????-????: ?????? ???? ????? ????? ????????? ?? ????? ????? ??????-???,Ben Gurion University,2012,4,295500,Neurobiology,"allostery, cooperativity, potassium channels, Voltage-dependent gating, Activation gating, Double-mutant cycles, Thermodynamic coupling"
